,제목,가사,가수,발매일,좋아요수,장르
0,애정의 조건,"사랑은 잠시 내게 머물다
말없이 떠나버리고
밀려오는 시련속에 서있어도
나는 울지 못하는 작은새
가슴엔 언제나 겨울바람이
싸늘히 불어와도
일곱빛깔 무지개를 쫓아가는
나는 꿈을 꾸는 작은새
때로는 그리운 마음에
쓸쓸히 눈물짓지만
때로는 추억에 젖어
쓸쓸히 웃음짓지만
사랑은 너무 아파요
사랑은 너무 미워요
내 작은 몸짓으로 어쩔 수 없는 사랑
사랑 사랑의 조건은
때로는 그리운 마음에
쓸쓸히 눈물짓지만
때로는 추억에 젖어
쓸쓸히 웃음짓지만
사랑은 너무 아파요
사랑은 너무 미워요
내 작은 몸짓으로 어쩔 수 없는 사랑
사랑 사랑의 조건은",최유나,2019.06.26,59,성인가요/트로트
1,가인이어라 (Inst.),"가인 가인이어라
운명 같은 사람이어라
보고 또 보고 싶은 가인이어라
정도 많은 사람이어라
어느 한 날 똑같은 시간에 만나
서로에게 끌려버린 맘
좋아 좋아한다면 죄라도 되나요
이제 나는 어쩔 수 없네
아 영원히 안고 싶어라
시간아 멈추어라
가인 가인이어라
필연적인 사람이어라
보고 또 보고 싶은 가인이어라
내인생의 귀인이어라
사랑해요 그 말을 하고 싶나요
내 마음도 그렇답니다
애간장을 녹이는 다정한 목소리
누가 내게 보내셨나요
아 영원히 닮고 싶어라
세월아 멈추어라
가인 가인이어라
운명 같은 사람이어라
보고 또 보고 싶은 사람이어라
내인생의 귀인이어라
가인이어라 가인이어라
가인 가인이어라
가인 가인 가인이어라",송가인,2019.11.04,"6,012",성인가요/트로트
2,사랑에 빠져봅시다 (Inst.),"당신은 어떤 사랑을 원하시나요
소설 속의 주인공 같은
그런 사랑이겠죠
사랑에 눈이 멀면
모든 것이 곱게 보여
호박꽃도 장미처럼 예쁘다나요
이 세상에 못난 꽃
어디 있나요 어디 있나요
이 세상에 모두가
예쁜 꽃이요 장미꽃처럼
아아아 우리 모두
사랑에 취해봅시다
아아아 우리 모두
사랑에 빠져봅시다
당신은 어떤 사랑을 원하시나요
소설 속의 주인공 같은
그런 사랑이겠죠
사랑에 눈이 멀면
모든 것이 곱게 보여
호박꽃도 장미처럼 예쁘다나요
이 세상에 못난 꽃
어디 있나요 어디 있나요
이 세상에 모두가
예쁜 꽃이요 장미꽃처럼
아아아 우리 모두
사랑에 취해봅시다
아아아 우리 모두
사랑에 빠져봅시다
사랑에 빠져봅시다",송가인,2019.11.04,"5,921",성인가요/트로트
3,이별의 영동선 (K-Trot Ver.) (Inst.),"눈물이 난다
잘 견뎌 왔는데
나도 몰래
눈물이 난다
영동선 기차
몸을 싣고
무정하게
가버린 사람
떠나는 사람이
뭐가 바쁜지
뒤도 한번 안 돌아 보고
남겨진 나만
울고 서있네
빈자리만 바라보면서
사랑해서 그리워서
나도 몰래
눈물이 나
떠나는 사람이
뭐가 바쁜지
뒤도 한번 안 돌아 보고
남겨진 나만
울고 서있네
빈자리만 바라보면서
사랑을 몰랐다면 아픔도 몰라
사랑을 또 미워하다가
사랑해서 그리워서
나도 몰래
눈물이 나
사랑해서 그리워서
나도 몰래
눈물이 나",송가인,2019.11.04,"5,924",성인가요/트로트
4,짜라빠빠 (2020 Remix),"짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜라짜라 빠빠빠
짜라빠빠 그대는 아름다워
짜짜라 짜라빠빠빠
짜라빠빠 당신은 믿음직해
짜짜라 짜라빠빠빠
짜라빠빠 수줍어 하지말고
짜짜라 짜라빠빠빠
짜라빠빠 즐겁게 노래해요
짜라짜라 빠빠빠
짜라빠빠 그대는 아름다워
짜짜라 짜라빠빠빠
짜라빠빠 당신은 믿음직해
짜짜라 짜라빠빠빠
짜라빠빠 저하늘 별들처럼
짜짜라 짜라빠빠빠
짜라빠빠 영원히 변치말자
짜짜라 짜라빠빠빠
짜라빠빠 그리운 그대 이름
짜짜라 짜라빠빠빠
짜라빠빠 오늘도 불러보네
짜라짜라 빠빠빠
짜라빠빠 저하늘 별들처럼
짜짜라 짜라빠빠빠
짜라빠빠 영원히 변치말자
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜짜라 짜라빠빠빠
짜라빠빠 빠빠빠 짜라빠빠
짜라짜라 빠빠빠",정광태,2019.11.11,81,성인가요/트로트
5,5호선 여인,"아닐거야 아니겠지
하지만 자꾸 돌아보게 돼
그 어느날 지하철 5호선에서
우연히 마주친 여인
눈인사를 건넸지만
쓸쓸히 바라만 보다
어느 역이었나 어느 역이던가
총총히 내리면서 뒤돌아볼 때
맺힌 눈물 나는 보았네
아아아 5호선 여인
아닐거야 아니겠지
하지만 자꾸 돌아보게 돼
그 어느날 지하철 5호선에서
우연히 마주친 여인
눈인사를 건넸지만
쓸쓸히 바라만 보다
어느 역이었나 어느 역이던가
총총히 내리면서 뒤돌아볼 때
맺힌 눈물 나는 보았네
아아아 5호선 여인
맺힌 눈물 나는 보았네
아아아 5호선 여인",추가열,2020.02.17,65,성인가요/트로트
6,오늘이젊은날,"나이야 가라 나이야 가라
나이가 대수냐
오늘이 가장 젊은 날
내 과거 묻지를 마세요
알아서 무엇 하나요
지난 일은 지난밤에 묻어요
살다 보면 다 그렇지
마음엔 나이가 없는 거란 걸
세월도 비켜가는 걸
잊지는 말아요 오늘 이 순간이
내 인생에 가장 젊은 날
나이야 가라 나이야 가라
나이가 대수냐
오늘이 가장 젊은 날
인생을 돌아보지 마세요
그렇게 흘려 보내요
아쉬워도 시간 속에 묻어요
인생이란 다 그렇지
청춘엔 기준이 없는 거란 걸
지금도 한창때란 걸
잊지는 말아요 오늘 이 순간이
내 인생에 가장 젊은 날",김용임,2019.11.01,54,성인가요/트로트
7,돌이키지마,"모든것이 지금 시작이야
한 순간도 놓칠수 없어 그래
눈을 뜨면 보이는 것은
이제와서 돌이키지 말아요
지금 내가 가야하는길
그땐 정말 물거품이야 정말
이제와서 돌이키지말아요
지금 나는 가야하는데
하늘의 떠도는 별들도
나를 보며 오라하는데
어짜피 그대 마음에
한동안 머물다 떠나가는데
돌이키지마 돌이키지마
모든것이 지금 시작이야
한 순간도 놓칠수 없어 그래
눈을 뜨면 보이는 것은
이제와서 돌이키지 말아요
하늘의 떠도는 별들도
나를 보며 오라하는데
어짜피 그대 마음에
한동안 머물다 떠나가는데
돌이키지마 돌이키지마
모든것이 지금 시작이야
한 순간도 놓칠수 없어 그래
눈을 뜨면 보이는 것은
이제와서 돌이키지 말아요
이제와서 돌이키지 말아요",이은하,2020.03.05,37,성인가요/트로트
8,미워도 다시 한번,"이 생명 다 바쳐서
죽도록 사랑했고
순정을 다 받쳐서 믿고 또 믿었건만
영혼히 그 사람을 사랑해 선 안될사람
말 없이 가는길에 미워도 다시한번
아 아 안녕
나만히 가야하는 그 사랑에 길 이기에
울면서 돌아설 땐 미워도 다시한번
아 아 안녕
아 아 안녕
아 아 안녕",알리 (ALi),2020.05.13,53,성인가요/트로트
9,안동역에서,"기다리는 내 마음만 녹고 녹는다
밤이 깊은 안동역에서

어차피 지워야 할 사랑은 꿈이었나
첫눈이 내리는 날 안동역 앞에서
만나자고 약속한 사람
그 사람

새벽부터 오는 눈이 무릎까지 덮는데
안 오는 건지 못 오는 건지
대답 없는 사람아

기다리는 내 마음만 녹고 녹는다
오늘도 기다리는 내 마음만

바람에 날려버린 허무한 맹세였나
첫눈이 내리는 날 안동역 앞에서
만나자고 약속한 사람
그 사람

새벽부터 오는 눈이 무릎까지 덮는데
안 오는 건지 못 오는 건지
오지 않는 사람아

안타까운 내 마음만 녹고 녹는다
오늘도 오늘도
오늘도 내 마음만 녹는다

내 마음만

(안타까운 내 마음만 기다리는 내 마음만)
(안타까운 내 마음만) 녹고 또 녹는다

(안타까운 내 마음만) 기다리는 내 마음만
안타까운 내 마음만 (오늘도 난)
밤이 깊은 안동역 이 자리에

(기다리는 내 마음만) 녹고 녹는다
밤이 깊은 안동역에서 (기다리는 내 마음만)
밤이 깊은 안동역에서

(오늘도 내 마음만) 녹는다
(오늘도 내 마음만 오늘도 내 마음만) 내 마음 녹는다

(안동역에서)",서제이,2020.06.20,0,성인가요/트로트
10,당신 사랑합니다,"당신 울면 나도 울지요
당신 웃으면 나도 웃지요
이 세상에 하나뿐인 당신이기에
내 모든 걸 다 바쳐서 사랑합니다
한 때는 당신이 미워 후회도 했지요
헤어질까 망설였지만
당신이 없으면 당신이 없으면
단 하루도 살 수 없어요
당신 울면 나도 울지요
당신 웃으면 나도 웃지요
이 세상에 하나뿐인 당신이기에
내 모든 걸 다 바쳐서 사랑합니다
당신 웃으면 나도 웃지요
당신 울면 나도 울지요
이 세상에 하나뿐인 당신이기에
내 모든 걸 다 바쳐서 사랑합니다
한 때는 당신이 미워 후회도 했지요
헤어질까 망설였지만
당신이 없으면 당신이 없으면
단 하루도 살 수 없어요
당신 웃으면 나도 웃지요
당신 울면 나도 울지요
이 세상에 하나뿐인 당신이기에
내 모든 걸 다 바쳐서 사랑합니다
내 모든 걸 다 바쳐서 사랑합니다
당신 사랑해",배일호,2020.08.27,7,성인가요/트로트
11,눈물비,"눈물비 주루루 내리면
내겐 우산 같던 한 사람
세상 아픔들을 대신 맞아주고
나를 지켜주던 한 사람
미안해요 미안해요
사랑해요 사랑해요
비 개인 하늘은 저리 맑은데
마음에 빗물은 그치지 않아
미안한 마음은 먹물이 되어
가슴에 번져가네요
오오 못해준 기억이 많아
너무 멀리 가버린 사람
눈물비 주루루 내리면
내겐 우산 같던 한 사람
세상 아픔들을 대신 맞아주고
나를 지켜주던 한 사람
미안해요 미안해요
사랑해요 사랑해요
오오 못해준 기억이 많아
너무 멀리 가버린 사람
눈물비 주루루 내리면
내겐 우산 같던 한 사람
세상 아픔들을 대신 맞아주고
나를 지켜주던 한 사람
미안해요 미안해요
사랑해요 사랑해요",김명준,2020.09.22,"2,294",성인가요/트로트
12,정말 좋았네,"사랑 그 사랑이 정말 좋았네
세월 그 세월이 가는 줄도 모르고
불타던 두 가슴에 그 정을 새기면서
사랑을 주고 사랑을 받고
그 밤이 좋았네
사랑 그 사랑이 정말 좋았네
사랑 그 사랑이 정말 좋았네
이별 그 이별이 오는 줄도 모르고
푸르던 두 가슴에 참사랑 새기면서
마음을 주고 마음을 받고
그때가 좋았네
사랑 그 사랑이 정말 좋았네
정말 좋았네",정수라,2020.10.16,163,성인가요/트로트
13,난 사랑을 아직 몰라,"나를 만나 자고
너는 나를 찾아와도
나는 너를 몰라
너를 만날 수가 없잖아
만날 수 없잖아
느낌이 중요해
난 그렇게 생각해
너무 단순해도 난 싫어
한번을 만나도
느낌이 중요해
난 그렇게 생각해
너무 빠른것도 난 싫어
너는 사랑을 말하지만
그건 좀 곤란해
진짜 사랑이란건
서로 느낌이라는데
나는 사랑을 아직 몰라
조금 더 기다려
진짜 사랑한다면
조금 더 참아주겠지
한번을 만나도
느낌이 중요해
난 그렇게 생각해
너무 빠른것도 난 싫어
나를 만나 자고
너는 나를 찾아와도
나는 너를 몰라
너를 만날 수가 없잖아
만날 수 없잖아
느낌이 중요해
난 그렇게 생각해
너무 단순해도 난 싫어
한번을 만나도
느낌이 중요해
난 그렇게 생각해
너무 빠른것도 난 싫어
너는 사랑을 말하지만
그건 좀 곤란해
진짜 사랑이란건
서로 느낌이라는데
나는 사랑을 아직 몰라
조금 더 기다려
진짜 사랑한다면
조금 더 참아주겠지
한번을 만나도
느낌이 중요해
난 그렇게 생각해
너무 빠른것도 난 싫어
나를 만나 자고
너는 나를 찾아와도
나는 너를 몰라
너를 만날 수가 없잖아
나를 만나 자고
너는 나를 찾아와도
나는 너를 몰라
너를 만날 수가 없잖아",정동원,2020.11.13,"3,667",성인가요/트로트
14,빈대떡 신사,"돈 없으면 집에 가서
빈대떡이나 부쳐 먹지
한 푼 없는 건달이
요릿집이 무어냐
기생집이 무어냐
양복 입은 신사가
요릿집 문 앞에서
매를 맞는데
왜 맞을까 왜 맞을까
원인은 한 가지 돈이 없어
들어갈 땐 폼을 내며
들어가더니
나올 적엔 돈이 없어
쩔쩔매다가
뒷문으로 도망치다
붙잡히어서
매를 맞누나
매를 맞누나
으하하하 우습다
으헤헤헤 우스워
돈 없으면 집에 가서
빈대떡이나 부쳐 먹지
한 푼 없는 건달이
요릿집이 무어냐
기생집이 무어냐
아버지가 모아준
아까운 전 재산을
다 붙어먹고
마지막엔 마지막엔
양복을 잽혀도 요릿집만
쳐다보길 점잖은
신사 같지만
주머니엔 한 푼 없는
새파란 건달
요리 먹고 술 먹을 땐
폼을 냈지만
매 맞는 꼴이야
매 맞는 꼴이야
보이는 게 다가아냐
속이 꽉 차야 그게 진짜야
허풍은 노노노
허세도 노노노
있다고 있다고
막 쓰지 마오
없다고 없다고
막살지 마오
후회할 때는
이미 늦어
늦었다 생각할 땐
완전히 늦어
돈 없으면 집에 가서
빈대떡이나 부쳐 먹지
한 푼 없는 건달이
요릿집이 무어냐
기생집이 무어냐
한 번 더",신사의 뽕격,2020.11.14,75,성인가요/트로트
