제목,가사,가수,발매일,좋아요수,장르
Misfit,"la la la la la la la-
I’m a misfit 맞는 fit 자체가 없지
숨이 턱턱 막힌 옷을 입은 느낌
지겹지 고민 없이 그냥 rip it
나를 끌어내리려 할수록 get lifted

애써 날 재단하려는 건 됐어
지금 이대로 가 the best never mess up
의심이 없지 그저 bring it to the next
난 듣는 방법을 몰라 I'm a def

왜 내가 발을 맞춰야 돼 어림없음
다 비슷한 모습 더욱 거슬리는 bossin'
2 phones 에어플레인 모드 날아갈 때야
누구는 내가 미쳤대 nope

It doesn't matter what they say
어차피 난 내 마음대로 할 텐데
난 언제나 튀어나온 못 다치기 싫으면
U better just stay out of my way okay?

get out my way y’all
get out my way
아무도 나를 막지 못해
우릴 억지로 똑같은 틀에 끼워 넣다간
부숴버릴지도 you dig?

get out my way y’all
get out my way
지킬 법이 법이 없네
적당히라는 법도
날 멈출 방법도
새 룰을 만들어 right here

누군가의 규칙
묻지 말고 따르라는 듯이
채우려고 하네 목줄을
짓밟으려 해 꿈을
내가 얼마나 높이 조준을 하고 있는지
모르니 따분한 소릴 늘어놔

뻔한 소리뿐인 plot
내게 닿기도 전에 뻗어 LeBron block
입이 쩍 벌어지네 이젠 분위기 파악
하길 우리 태도는 늘 do or die

It's been a minute I'm in it 이미 난 이기는
기분 느끼며 지키는 motto without the business
misfit never fit in
날 막아서는 것들 이미 발아래로 6 feet
깨버려 시스템 믿어 너의 instinct
don't stop wit attitude like u r 15
rude boys hit the track 식겁해
우린 다르게 보는 중이라 삐딱해

get out my way y’all
get out my way
아무도 나를 막지 못해
우릴 억지로 똑같은 틀에 끼워 넣다간
부숴버릴지도 you dig?

get out my way y’all
get out my way
지킬 법이 법이 없네
적당히라는 법도
날 멈출 방법도
새 룰을 만들어 right here

break it down like
la la la la la la la-
la la la la la la la la
la la la la la la la
(here’s my favorite part uh)
la la la la la la la la
(now everybody sing)
la la la la la la la
(hey hey I wanna hear you like)
la la la la la la la la
(hey hey come on and tell me like)
la la la la la la la
(hey hey hey)
la la la la la la la la
(check it out yo)

aight 위기도 분위기도 나를 움직이는 건
아냐 내가 옳다 느낄 때 던지기로
all of my impact 너도 이걸 느낄 때
넌 너만의 길에 be original

한계라고 그어 놓은 선 위
당연하단 듯 crossin’ over it
매일 세워 new anniversary
매일 써 history 외쳐 we made it

warnin' NCT we mobbin'
네가 어디에 있든지 we comin’
눈이 마주치면 망설이지 말고 jump in
baby come & get it on my team let's run it

gotta get up go to bigger better things
갈 길이 멀어 피드백은 no thanks
똑바로 걷기엔 전부 비스듬해
우린 다르게 보는 중이라 삐딱해

get out my way y’all
get out my way
아무도 나를 막지 못해
우릴 억지로 똑같은 틀에 끼워 넣다간
부숴버릴지도 you dig?

get out my way y’all
get out my way
지킬 법이 법이 없네
적당히라는 법도
날 멈출 방법도
새 룰을 만들어 right here

la la la la la la la-
la la la la la la la-",NCT U,2020.11.23,"14,670",랩/힙합
"it's LIT! (Feat. Rolldice, CHERRY BOY 17)","i dune came back around
지난건 기억상실 stop
만족못해 더 보태 내 밤
ㅈ밥 도피해 난 타협안하지
i dont care 높게 뒀어 내 target
물들어 올때 노 땡길 timing
떠들어대도 귀엔 bowwow
다음을 맞이할 준비 되있어 난
지하주차장에서 elevator
해보자는 mind가 만들어 대이변
말들은 많지만 그게 어쨌건
후횐없고 다만 새로운 자극 돼 이건
말하지 난 아직 안익었대
im raw 가식없이 난 이렇게 해
내 발은 저들과 다른
받을 대가는 가득
하고 봐 그게 빠른 답이였네
떠날놈 떠났고 몇 남았지만
미련안둬 가치를 알아봤지 난
익숙한 바닥 머무르지않아 빨놈만 빨아
뭐 달라지나 랩못하면 안나 간지가
만약 거기에 날 포함 한다면
beat 갖고와 지금
편견은 반전에 효과있지 늘
lit lit
it's lit lit it's lit lit
it's lit lit it's lit lit
born to be (lit!)
네가 본 그 이름 (lit!)
내껀 죽이지 (lit!)
내 모습이 (lit!)
항상 떳떳하게 고개 높이들어
I was born for this shit
말만으론 절대 하지않아
know gotta keep it classic
가라했고 그래 갈때까지
해보래서 그래 해버렸지
But you know im from the south side
절대 잃지 않는 표본
Ktown에서 see me wildin
올라 갈께 like 물가상승
한입으로 절대 두말않지
So you gotta love it
안봐두 뻔해 Woah woah
I might need me a 새 신
im on my way to 갱신
것멋든 놈 앞에선 Savage
Mines top tier Fuego
두배로 gain해, 내 Dinero
Lets get it, till it gets lit
그전까지 연락마 , 나 바뻐
Gotta keep my distance
to fake fxxks im gone
Gotta keep my distance
to fake fxxks im gone
lit lit
it's lit lit it's lit lit
it's lit lit it's lit lit
born to be (lit!)
네가 본 그 이름 (lit!)
내껀 죽이지 (lit!)
내 모습이 (lit!)
Fxxk 할려고 시작 했던 래퍼
하다보니 높이 올라 better
난 게으른 놈 but sax 할땐 Rambo
my dxxk so tight like venom
I get a new girl, but not my style
예전이였으면 바로 try
이젠 눈이 높아 마치 설악산
온다고 다 받진 않아
I get a posting new pants new cloth
이 놈 브랜드 또 보니까 루이비통
구찌 생로랑 택 또 버려
하나 사야겠어 택 쓰레기통
Hol'up hol'up
배드민턴 그녀와 렐리 밤새 핑퐁
벌러 벌러
돈 또 벌어 하루종일 맡아 돈 냄새 bro
구찌 매장들어가면 사람들이 웃지
Blue chip 보여주자 마자 다 뒤로 눕지
more bitch 원해서 부숴 또 방에서 종일
내 미래는 아마 맥그리거 아님 메시
it's lit
LIT",2DA_yellow,2023.02.09,38,랩/힙합
않아,"더 이상 노래를 만들고 싶지 않아
가사조차 나는 쓰고 싶지 않아
너무 너무 너무 너무
진짜 말로 나를 죽이는 건 쉽잖아
더 이상은 들려주고 싶지 않아
아무 말도 너에게 하고 싶지 않아
No mo no mo No mo no mo
더는 음악을 나는 하고 싶지 않아
Im gon die
이따위로 살 바엔
미친놈들 남 일에 왜들 상관
도대체 뭐가 문제야 문제아 새끼야
이건 그냥 내가 가진 나만 내는 색깔
I was fast I was best still
fresh than freshman 얘기들
내가 구리단 얘기들
헛소리 그건 네 기준
그래 헛소리 그것도 내 기준
아 맞다 성공의 Manual
닥치고 닥치면 된다던데
닥치는 게 너무 어려워
난 괜히 음악을 해서 매일
상처를 받고 대신
돈을 벌지만 나아지지 않아
Why you hate me
내가 잘못했니
Oh baby save me
더 이상 Don’t play me
더 이상 노래를 만들고 싶지 않아
가사조차 나는 쓰고 싶지 않아
너무 너무 너무 너무
진짜 말로 나를 죽이는 건 쉽잖아
더 이상은 들려주고 싶지 않아
아무 말도 너에게 하고 싶지 않아
No mo no mo No mo no mo
더는 음악을 나는 하고 싶지 않아
Im gon die
이따위로 살 바엔
미친놈들 남 일에 왜들 상관
도대체 뭐가 문제야 문제아 새끼야
이건 그냥 내가 가진 나만 내는 색깔
Ok 수백 곡을 만들어도 나를 위한 곡
하나 없어 만들었지
수많은 취향 얘기도
내게는 도움이 되지 않아
내가 하고 싶은걸
나는 하면 되는 걸
정말 하면 되는 걸
넌 아직도 모르겠지
내 진심 따위는 안중에도
벗어난 괴도 Leellamarz 외로워
정말 이제는 Better runaway
음악은 역시 어렵네
아무리 해도
지켜야지 겸손한 태도
믿어야지 누가 뭐라 해도
내 음악은 너희들을 위해 하지 않아
내 음악은 아무에게나 팔지 않아
Violin을 했을 때부터 똑같잖아
초심을 잃었다면
그건 너지 내가 아냐
성공할 거야 Leellamarz는 말야
내가 가고 있는 길을 나는 내가 알아
작업하고 마시는 Zero coke 달아
역시 한곡 땡겨야 난 눈을 감아
더 이상 노래를 만들고 싶지 않아
가사조차 나는 쓰고 싶지 않아
너무 너무 너무 너무
진짜 말로 나를 죽이는 건 쉽잖아
더 이상은 들려주고 싶지 않아
아무 말도 너에게 하고 싶지 않아
No mo no mo No mo no mo
더는 음악을 나는 하고 싶지 않아
Im gon die
이따위로 살 바엔
미친놈들 남 일에 왜들 상관
도대체 뭐가 문제야 문제아 새끼야
이건 그냥 내가 가진 나만 내는 색깔",릴러말즈 (Leellamarz),2021.02.01,"5,234",랩/힙합
어렸나 봐 (Feat. 유성은),"철없던 그 시절엔
겁 없던 나의 곁엔
오늘 같이 우중충한 날엔
가끔 그 때 생각이 나
내가 제일 잘 나간다며
내 어깨가 굳은 그때가
버는 만큼 전부 써버렸던
철없었던 바로 그 때
난 신나는 나이트에 진짜 난
Everyday
혹시 네게 걸리진 않을까
나 오늘은 너에게 뭐라
뻥을 칠까
근데 혹시 정말 맘에 드는
여자 나타나면 어떡할까
오늘도 너 몰래 화장을 하고
피곤하다며 난 거짓말 하고
아마 난
사랑하기엔 너무 어렸나 봐
그게 사랑인줄 난 몰랐나 봐
그냥 막연하게 두려웠나 봐
근데 아마도 널 아마 널
사랑했나 봐
언제나 쎈 척 했지
그래야 되는 줄 알았어
내 친구들은 말을 했지
여자한테 목 매면 안 돼
시간은 많은데 데이트는 안 해
너보다 친구 먼저 친구
생일 먼저 친구 고민 먼저
친구의 친구 먼저
어리석었던 그 시간은
순식간에 흘러 너는 멀어져
우린 항상 함께 몰려다녔지
마치 액션영화라도 찍을 것처럼
우정이란 이름으로 남자란
이름으로 난 언제나 어설픈
폼 잡았었지
친구들은 날 공주로 만들고
어리석게 왕자님만 기다려
아마 난
사랑하기엔 너무 어렸나 봐
그게 사랑인줄 난 몰랐나 봐
그냥 막연하게 두려웠나 봐
근데 아마도 널 아마 널
사랑했나 봐
그때 난 판단할 수 없었지
그래 내게는 정말 어려웠었지
대체 뭐가 옳은 건지
그른 건지 좋은 건지 아닌 건지
이게 정말 맞는 건지
사랑인지 그게 아닌 건지
사랑하기엔 너무 어렸나 봐
그게 사랑인줄 난 몰랐나 봐
그냥 막연하게 두려웠나 봐
근데 아마도 널 아마 널
사랑했나 봐
철없던 그 시절엔 나는
어리석었지만 정말 따뜻한
겁 없던 나의 곁엔 사랑했던
기억으로 전부 애틋한
철없던 그 시절엔 나는
어리석었지만 정말 따듯한
겁 없던 나의 곁엔 사랑했던
기억으로 전부 애틋한",김진표,2013.03.21,"6,353",랩/힙합
Dearlove (skit),"Dearlove
난 매일을 너랑 있었고
Oh my Dearlove
이렇게 망가질 순 없어
we on fire
사랑해
이러면 안 되는데
참 외롭군
Inner peace
In this peace
우린 섞잖아 매일을 밤새서
장소를 옮겨 대놓고 거리에서도
널 봐 나는 이게 과연 옳은가
이렇게 생각하다 금세 너를 찾아
우린 팀 함께 in the club
들을 때도 말야 50cent 노래
in da club
널 여겼어 16 땐 그저 미라클로
너 덕분에 우린
축제 속을 사니 maseltov
20대의 기억
우린 정이 들었고
항상 날 맛 가게 해줘
알잖아 다른 것들이 나를 유혹
한다는 걸 그럴 땐
너를 불러 목을 껴안고
씨발
입술을 들이켜 잃을게 많아
다른 애와 quick fuck
하기엔 너무 많아 내가 위험
너의 익숙함은 광기도 일으켜
ㅈ같애 내가 왜 이러게 됐는지
17 때 너랑 매일 지내 내 머리가
빠진 지경까지 됐을 때 내 레이블과
내 매니저 내 새끼들이
시도했지 떼놓길
난 너 덕분에 얻곤 하지 내 용길
덕에 나를 잃고
적곤 하지 내 멋진 bar
우울함을 얻기도
환희 역시 오늘 쇼
끝난 뒤에 울다가 널 불러 또 bitch
걍 널 안아 난
알코올 그래 널
지난 애인들 다 너를 미워해도 나는
홀로 입맞출래요
그정도 벌면 참지란말 하지마세요
음악으로 풀란말 좀 안하면안돼요",창모 (CHANGMO),2019.11.29,"11,522",랩/힙합
겁쟁이 (NEED HER),"Yeah I need her
Little bit of her
어디에 있어
너무 보고싶어
Yeah I miss her
Little bit of her
확인시켜줘
너의 약지 finger

아마 I go runnin’ to you
아마 I look funny to you
근데 나는 겁쟁이잖아
I can’t run into you baby
그래 나는 겁쟁이

Awake for 2 days
초록 버튼 앞에서 망설이지
망설이는 찰나에도 cash’s comin’ in
감정 없는 여자들의 texts’ comin’ in
미쳐 나는 지쳐
Yeah I need her, little bit of her
Should I quit her, 되도록 quicker
Should I finish her
no

Yeah I need her
Little bit of her
어디에 있어
너무 보고싶어
Yeah I miss her
Little bit of her
확인시켜줘
너의 약지 finger

아마 I go runnin’ to you
아마 I look funny to you
근데 나는 겁쟁이잖아
I can’t run into you baby
그래 나는 겁쟁이

말뿐인 바보, 다짐하지만 또
이틀이 가면 작심삼일 바보
놀러도 갔고, 이름조차도
기억이 안 나던 여자들과도 잤어
아마 나는 너를 못 잊어서 그래
아마 나는 네가 기준이어서 그래
아마 I go runnin’ to you
If I see you
아무하고도 사랑안해 If I’m with you

Yeah I need her
Little bit of her
어디에 있어
너무 보고싶어
Yeah I miss her
Little bit of her
확인시켜줘
너의 약지 finger

아마 I go runnin’ to you
아마 I look funny to you
근데 나는 겁쟁이잖아
I can’t run into you baby
그래 나는 겁쟁이

널 지켜주던 난
이제 약속 하나도 못 지켜
용감하지도 않아
포기가 더 손 쉬워
너가 아니면
나는 답이 없어
넌 왜 말이 없어
Yeah I need you

Yeah I need her
Little bit of her
어디에 있어
너무 보고싶어
Yeah I miss her
Little bit of her
확인시켜줘
너의 약지 finger

아마 I go runnin’ to you
아마 I look funny to you
근데 나는 겁쟁이잖아
I can’t run into you baby
그래 나는 겁쟁이",식케이 (Sik-K),2020.06.27,"4,693",랩/힙합
"Rainy Christmas (feat. 스키니 브라운 (Skinny Brown), Jayci yucca (제이씨 유카)) (Prod. PATEKO (파테코), TOIL)","it's rainy christmas baby what u doin
come and throw yo peace signs
I'm already shooting
한국어론 비와
in english rainy christmas
drip drip drip down
bae it's rainy christmas
baby come into my place hella safe
I put the cake on your plate
it's rainy christmas baby
what u doin
drip drip drip down
bae it's rainy christmas
올해 nothing
어딜가도 반겨주는 사람 없지
다들 얼굴을 반쯤 가린채
모든 사람들과 거리를 두지
이젠 너를 기다리기도 힘겨워
너를 생각하는것도 지쳤어
너를 위해 힘든 사랑 그만해
모두가 외로운 크리스 마스를 보내
눈물비 내리는 나홀로 집에
it's rainy christmas baby
what u doin
come and throw yo peace signs
I'm already shooting
한국어론 비와
in english rainy christmas
drip drip drip down
bae it's rainy christmas
baby come into my place hella safe
I put the cake on your plate
it's rainy christmas baby
what u doin
drip drip drip down
bae it's rainy christmas
네가 없이 비가 오는 크리스마스
어김없이 케이크엔 초를 켜놨어
하늘에선 내 눈물이 내려와
하염없이 아파도 난 괜찮아
올핸 볼수 없을까
사랑했던 우린 여기 까진가
이젠 널 바라볼수 조차 없고
오늘도 난 의미없는 전활 걸어
Ring Ring 징글벨 울려대는 거리에
너의 목소리가 희미하게 들려오는게
답답해 적적해 이제 나는 어떻게
내 눈엔 눈이 아닌 비가되어 쏟아지는대
내 눈엔 비가 내려와
하늘에선 눈이 오지만
흰 눈처럼 하얗게 잊을까
아니면
이맘이 널 잡으려 하니까
it's rainy christmas baby
what u doin
come and throw yo peace signs
I'm already shooting
한국어론 비와
in english rainy christmas
drip drip drip down
bae it's rainy christmas
baby come into my place hella safe
I put the cake on your plate
it's rainy christmas baby
what u doin
drip drip drip down
bae it's rainy christmas",WetBoy (웻보이),2020.12.22,"3,612",랩/힙합
비 온 뒤 흐림 (GRAY),"내 하늘은 비 온 뒤 흐림
애꿎은 먹구름에 심술을 부림
가슴팍을 두 두 두드림
외로움 공기가 한숨을 뿌림
비 온 뒤 흐림
버려지듯 쏟아지는 빗줄기
어느새 발목까지 잠긴 물웅덩이
슬프지도 기쁘지도 않으니까
집어쳐라 진심 없는
날 위한 기도 또는 위로
거울 속에 비친 내 모습 인간이 아냐
너 너 너 없는 하루는
살아도 사는 게 아냐
너 너 우울이 가득한 하늘은 모든 게
내 탓이라며 또 노려보네
회색빛 도시는 너무도 답답해
I wanna run away
넌 어쩌자고 이 넓은 하늘 아래
나를 혼자만 남겨 뒀을까
내 하늘은 비 온 뒤 흐림
애꿎은 먹구름에 심술을 부림
가슴팍을 두 두 두드림
외로움 공기에 한숨을 뿌림
비 온 뒤 흐림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림
비틀대는 마음 버릇처럼 하품
감정과 감정 사이가 삐걱대는 불량품
아마 나는 아픔 도망치기 바쁨
툭 투 툭 빗물과 입 맞추는 창문
넌 어쩌자고 이 넓은 하늘 아래
나를 혼자만 남겨 뒀을까
내 하늘은 비 온 뒤 흐림
애꿎은 먹구름에 심술을 부림
가슴팍을 두 두 두드림
외로움 공기에 한숨을 뿌림
비 온 뒤 흐림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림
무지개가 되겠다던
너는 어디쯤 떠올랐을까
네가 다녀간 내 빈자리는
끝내 채워질 줄을 모르고
Baby 구름이 지나간 자리마다
너의 얼굴이 보여서
나는 별수 없다는
이유로 눈을 감는다
아아아 내 하늘은 비 온 뒤 흐림
애꿎은 먹구름에 심술을 부림
어어 가슴팍을 두 두 두드림
외로움 공기에 한숨을 뿌림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림
따 따 따 따 따 따 따
에이 따 따 따 따 따 따 땃따
비 온 뒤 흐림",B.I,2021.06.01,"6,440",랩/힙합
"Pow Pow (Feat. Don Mills, UNEDUCATED KID)","i gotta paw (paw) paw
from this side to side
i dont take a break and break
ur *uckin 가름마
심신 *발 미약 누구맘대도 따른말
가족 말곤 누굴 믿어 지랄 하는 *가리를
i gotta paw (paw) paw (paw) paw (paw)
from this side to side
i told u i never take a break and
break ur life style
심신 미약 *발 니맘대로 따른말
trust nobody 망가뜨려 *랄떠는 *갈빡을
한남 *끼 술 처먹고
홍대 길거리에서 싸워
니가 멱살 잡고 싸울 때
옆에 있는 여자가 날 알아
근데 신경 안 써 *도
나는 음악밖에 모르는 바보
말 걸지 마 **아 너랑 말 섞기 싫어
뭐 어쩌라고
복싱 따윈 안 배웠어
길거리에서 배웠어 난 street fighter
오른손 인대가 3번이나 끊어졌지만
널 눕히는 건 쉽지
내가 너의 오른쪽 뺨을 때리면
빙빙 돌아 마치 피젯 스피너
나한테 까불면 다음날 9시 뉴스에
출연하겠지 넌
이제는 동두천 최용덕 시장님보다
내가 더 유명해
바지를 내리고 다니니 사람들이
내 팬티를 구경해
난 아직 19살인데 누나들은 말해
상현이 다 컸네
연상이 좋다던 누나들 날 맛보니
전부 생각을 바꿨네
i gotta paw (paw) paw
from this side to side
i dont take a break and
break ur *uckin 가름마
심신 *발 미약 누구맘대도 따른말
가족 말곤 누굴 믿어 *랄 하는 *가리를
i gotta paw (paw) paw (paw) paw (paw)
from this side to side
i told u i never take a break
and break ur life style
심신 미약 *발 니맘대로 따른말
trust nobody 망가뜨려 *랄떠는 *갈빡을
I got diamonds on my body
I don’t really trust nobody
내게 순정 따윈 없어
You know I don’t love no thotties
나는 쇼핑하러 가서
하지 않아 가격 확인
근데 네 여자를 만날 때 난
절대 안 써 사비
학교에선 안 배웠어
길거리에서 배웠어 난 Street Newton
Pussy 래퍼들 전속력으로 달려오다가
우릴 마주치고 바로 U Turn
너네들 똑똑한 척하는 거
여기서 보다 보니까는 내 입장에선 웃겨
나는 불법 약물 같은 것들 안 쓰고도
처음 보는 여잘 침대 위에다 눕혀
상현아 스무 살 되면은
강남 가서 **애들 다 후리자
인스타 인플루언서같은 애들
몇 번 놀다가 그냥 버리자
Blowjob Handjob Footjob
조신한 그녀의 직업은 쓰리잡
난 절대 짝퉁 같은 거는 안 입어
되면 안 되니까 프리지아
i gotta paw (paw) paw
from this side to side
i dont take a break and
break ur *uckin 가름마
심신 *발 미약 누구맘대도 따른말
가족 말곤 누굴 믿어 *랄 하는 *가리를
i gotta paw (paw) paw (paw) paw (paw)
from this side to side
i told u i never take a break
and break ur life style
심신 미약 *발 니맘대로 따른말
trust nobody 망가뜨려 *랄떠는 *갈빡을",Polodared,2022.07.15,"1,313",랩/힙합
Mull,"우리는 필요해 물
우리는 필요해 물
나는 안 필요해 술
붙쳐 내 Woods에 불
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
붙쳐 내 Woods에 불
내 컵엔 가득한 물
내 컵엔 가득한 물
나는 안 필요해 술
붙쳐 내 Woods에 불
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
붙쳐 내 Woods에 불
붙쳐 내 Woods에 불
손목엔 가득한 금
목과 주먹엔 얼음
그래서 무거운 내 발걸음
그래서 무거운 내 발걸음
난 그냥 원하면 모든 얻음
난 아마 되겠지 거물,거물
니꺼는 되버렸지 고물,고물
난 필요해 필요해 저울,저울
내 보석은 차가워 너무 겨울
가끔은 그리운 서울 서울
내 보석은 차가워 너무 겨울
미움은 반사해 거울,거울
꺼져 난 여기까지 왔어, 겨우
뺏기지 않지, 그냥 난 얻음
절대로 잊을 수 없는 나의 처음
잘 봐, 내 손목에 메달린 얼음
잘 봐, 내 손목에 메달린 얼음
내 목엔 가득한 금
내 현실이 너에겐 꿈
나는 안 따르지 rule
아직 나를 따르는 운
우리는 필요해 물
우리는 필요해 물
나는 안 필요해 술
XXX
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
XXX
내 컵엔 가득한 물
내 컵엔 가득한 물
나는 안 필요해 술
XXX
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
XXX
내 손엔 backwoods leaf
난 cookie랑 섞었지 kief
나는 안 필요해 beef
연기를 뿜어, 난 마치 chief
뱀파이어처럼 목 마르지, 피
필요해, 난 더 많은 에너지
얘넨 뺏고 싶어해 나의 기
얘넨 갖고 싶어해 나의 기
내 보석, 전부 다 물
넌 내게 뭘 요구하고
나는 다 거절하고
난 ""그래 그래서 뭐 어쩌라구?""
난 그냥 필요해 torch
내게 해줘 응급처치
니 여친, 보석처럼 젖지
니 여친, 보석처럼 젖지
우리는 필요해 물
우리는 필요해 물
나는 안 필요해 술
XXX
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
XXX
내 컵엔 가득한 물
내 컵엔 가득한 물
나는 안 필요해 술
XXX
우리는 필요해 물
우리는 필요해 물
내 목엔 가득한 금줄
붙쳐 내 Woods에 불",Keith Ape,2022.11.08,"1,192",랩/힙합
