제목,가사,가수,발매일,좋아요수,장르
신사동 그사람,"희미한 불빛사이로
마주치는
그 눈길 피할 수 없어
나도 몰래 사랑을
느끼며 만났던
그 사람 행여
오늘도 다시 만날까
그날밤 그 자리에
기다리는데
그 사람 오지않고
나를 울리네
시간은 자정 넘어
새벽으로 가는데
아 그날밤 만났던 사람
나를 잊으셨나봐
희미한 불빛사이로
오고 가던
그 눈길 어쩔 수 없어
나도 몰래
마음을 주면서
사랑한 그 사람
오늘밤도 행여
만날까 그날밤
그 자리에 마음
설레며 그 사람
기다려도 오지를 않네
자정은 벌써 지나
새벽으로 가는데
아 내 마음 가져간 사람
신사동 그 사람
희미한 불빛사이로
마주치는 그 눈길
피할 수 없어
나도 몰래 사랑을
느끼며 만났던
그 사람 행여
오늘도 다시 만날까
그날밤 그 자리에
기다리는데
그 사람 오지않고
나를 울리네
시간은 자정 넘어
새벽으로 가는데
아 그날밤 만났던 사람
나를 잊으셨나봐",영탁,2020.10.23,"5,065",성인가요/트로트
못 견디게,"못 견디게 그리운 사랑
커지는 달 집 되어
사무치게 그리워 해도
태우는 게 사랑인가요
밤 새워지는 달빛
그런게 사랑인가요
이제 곧 볕 들텐데
달 집처럼 태워야 할 사랑
고생만 하다 지는 인연
못 잡을 이 사랑 때문에
어두운 길을 이리 지려고
걸어 온 반달같은 님아
못 견디게 그리운 사랑
커지는 달 빛 되어
사무치게 그리워해도
기우는 게 사랑인가요
밤 새워지는 달빛
그런 게 인생인가요
이제 곧 볕 들 텐데
달 집처럼 태워야 할 사랑
고생만 하다 겨우 한 줌
재가 될 이 사랑 때문에
어두운 길을 이리 지려고
살아 온 반달 같은 님아
못 견디게 그리운 사랑
커지는 달 집 되어
사무치게 그리워 해도
태우는 게 사랑인가요
태우지 못할 사랑아",강혜연,2021.04.30,301,성인가요/트로트
막걸리 한잔,"막걸리 한잔
온 동네 소문 났던 천덕꾸러기
막내아들 장가가던 날
앓던 이가 빠졌다며 덩실 더덩실
춤을 추던 우리 아버지
아버지 우리 아들 많이 컸지요
인물은 그래도 내가 낫지요
고사리 손으로
따라주던 막걸리 한잔
아버지 생각나네
황소처럼 일만 하셔도
살림살이는 마냥 그 자리
우리 엄마 고생시키는
아버지 원망했어요
아빠처럼 살긴 싫다며
가슴에 대못을 박던
못난 아들을 달래주시며
따라주던 막걸리 한잔
따라주던 막걸리 한잔
황소처럼 일만 하셔도
살림살이는 마냥 그 자리
우리 엄마 고생시키는
아버지 원망했어요
아빠처럼 살긴 싫다며
가슴에 대못을 박던
못난 아들을 달래주시며
따라주던 막걸리 한잔
따라주던 막걸리 막걸리 한잔",이병찬,2022.07.08,648,성인가요/트로트
바다 끝(MR),"먼 아주 멀리 있는
저 바다 끝보다 까마득한
그곳에 태양처럼 뜨겁던
내 사랑을 두고 오자
푸른 바람만 부는
만남도 이별도 의미 없는
그곳에 구름처럼 무심한
네 마음을 놓아주자
아름다웠던
나의 모든 노을빛 추억들이
저 바다에 잠겨
어두워지면 난 우리를 몰라
짙은 어둠만 남은
시작도 그 끝도 알 수 없는
그곳에 물결처럼 춤추던
너와 나를 놓아주자
아름다웠던
나의 모든 노을빛 추억들이
저 바람에 날려 흐트러지면 난 우리를
오 아름다웠던
나의 모든 노을빛 추억들이
저 바다에 잠겨 어두워지면
난 우리를 몰라",송민준,2023.02.17,0,성인가요/트로트
눈이 내리네,"눈이 내리네
당신이 가버린 지금
눈이 내리네
외로워지는 내 마음
꿈에 그리던
따뜻한 미소가
흰 눈속에 가려져
보이지 않네
하얀눈을 맞으며
걸어가는 그 모습
애처로이 불러도
하얀 눈만 내리네
라 라라라 라라라 라라라
우 우우우 우우우 우우우
눈이 내리네
당신이 가버린 지금
눈이 내리네
외로워지는 마음
꿈에 그리던
따뜻한 미소가
흰 눈속에 가려져
보이지 않네
하얀눈을 맞으며
걸어가는 그 모습
애처로이 불러도
하얀 눈만 내리네
애처로이 불러도
하얀 눈만 내리네
라 라라라 라라라 라라라
우 우우우 우우우 우우우",이미배,1990,73,성인가요/트로트
고목,"갈길 멀다 쉬어가는 곳
구름처럼 머물다가는 곳
산굽이 돌아 밤이오면
하늘가에 그리움 일던 곳
그 그사람 지금
어디에 어디에 있나
어느 어느 하늘 아래
무엇을 무엇을 할까
어린시절 고목 여전한데
나만 홀로 여기에 서있네

그 그사람 지금 어디에
어디에 있나
어느 어느 하늘 아래
무엇을 무엇을 할까
어린시절 고목 여전한데
나만 홀로 여기에 서있네
나만 홀로 여기에 서있네",윤시내,1981.10,224,성인가요/트로트
사랑하는 영자씨!,"이세상에 하나뿐인
사랑하는 영자씨
당신이 원한다면
무엇인들 못하리까
저하늘의 별이라도
저하늘의 달이라도
당신앞에 바치오리다
우리들의 만남이야
필연인것을
때로는 아프겠지만
슬픔도 기쁨도 언제나
당신과 함께라면
아아아아아아아아
사랑하는 나의 영자씨

이세상에 하나뿐인
사랑하는 영자씨
당신이 원한다면
무엇인들 못하리까
저하늘의 별이라도
저하늘의 달이라도
당신앞에 바치오리다
우리들의 만남이야
필연인것을
때로는 아프겠지만
슬픔도 기쁨도 언제나
당신과 함께라면
아아아아아아아아
사랑하는 나의 영자씨
우리들의 만남이야
필연인것을
때로는 아프겠지만
슬픔도 기쁨도 언제나
당신과 함께라면
아아아아아아아아
사랑하는 나의 영자씨
사랑하는 나의 영자씨",현숙,1997,98,성인가요/트로트
애원,"달빛이 유난히도
밝던 그 어느 날
그 애와 나는 서로를
알 수 있었지
바람이 거세게
불던 그 어느 날
그 애와 나는 영원을
맹세했었지
하지만 그 애는
떠나 버렸고
남겨진 내 모습은
너무나도 처량한데
알 수 없어요 정말
내가 왜 우는건지
그 애가 왜 나를
잊어야만 하는지

하지만 그 애는
떠나 버렸고
남겨진 내 모습은
너무나도 처량한데
알 수 없어요 정말
내가 왜 우는건지
그 애가 왜 나를
잊어야만 하는지",전영록,1981,142,"발라드, 성인가요/트로트"
옥이,"아직도 내 사랑은
너 하나인데
사랑의 마침표를
눈물로 찍고

내 모든것을
다 주어도 모자랐나
가네 가네 떠나가네
옥이가 가 네
연기처럼 바람처럼
내 영혼을 앗아간 여자
내 젊음을
꺽고 간 여자
어이해
남이 되고 말았나
옥아 아 직도 내 사랑은
너 하나인데
사랑의 마침표를
눈물로 찍고
돌아서 간
옥이 옥이 야

아직도 내 사랑은
너 하나인데
사랑의 마침표를
눈물로 찍고

내 모든것을
다 주어도 모자랐나
가네 가네 떠나가네
옥이가 가 네
이슬처럼 빗물처럼
내 영혼을 적셔준 여자
내 가슴에
머물던 여자
어이해
남이 되고 말았나
옥아 아 직도 내 사랑은
너 하나인데
사랑의 마침표를
눈물로 찍고
돌아서 간
옥이 옥이 야
연기처럼 바람처럼
내 영혼을 앗아간 여자
내 젊음을
꺽고 간 여자
어이해
남이 되고 말았나
옥아 아 직도 내 사랑은
너 하나인데
사랑의 마침표를
눈물로 찍고
돌아서 간
옥이 옥이 야
돌아서 간
옥이 옥이 야",하나로,2001.04.15,155,성인가요/트로트
한방의 부르스,"옛날의 나를 말한다면
나도 한때는 잘 나갔다
그게 너였다
아니 그게 나였다
한때 나를 장담마라
가진 것 없어도
시시한 건
죽기보다 싫었다
언제나 청춘이다
사나이의 가슴은
오늘도 가슴속에
한잔 술로 길을 만든다
오늘 밤은 내가 쏜다
더 멋진 내일을 그리며
사나이의 인생길은
한방의 부르스

옛날의 나를 말한다면
나도 한때는 잘 나갔다
그게 너였다
아니 그게 나였다
한때 나를 장담마라
가진 것 없어도
시시한 건
죽기보다 싫었다
언제나 청춘이다
사나이의 가슴은
오늘도 가슴속에
한잔 술로 길을 만든다
오늘 밤은 내가 쏜다
더 멋진 내일을 그리며
사나이의 인생길은
한방의 부르스
오늘 밤은 내가 쏜다
더 멋진 내일을 그리며
사나이의 인생길은
한방의 부르스",전승희,2002.06.01,164,성인가요/트로트
