제목,가사,가수,발매일,좋아요수,장르
이제 나만 믿어요,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요",임영웅,2020.04.03,"164,747",성인가요/트로트
보금자리,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
당신만 있으면 돼",임영웅,2022.05.02,"43,816",성인가요/트로트
찐이야,"찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐이야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐하게 찐하게 찐하게 찐하게
찐하게 사랑할 거야",영탁,2020.03.13,"66,514",성인가요/트로트
니가 왜 거기서 나와 (Narr. 고은아),"어디야
집이야 피곤해서 일찍 자려구
아 그래 잠깐 볼랬더니
오늘 피곤했나 보네 언능 자
어 끊어
근데 니가
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
니가 왜 거기서 나와
피곤하다 하길래
잘자라 했는데
혹시나 아픈건가
걱정도 했는데
뭐하는데
여기서 뭐하는데
도대체
너네집은 연신내
난 지금 강남에
시끄런 클럽을
무심코 지나는데
이게 누구십니까
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
이런건 사랑이 아냐
노는 남자 싫다매
술은 못한다매
그것 땜에 나는 다
끊어버렸는데
지금 넌 왜
혀가 꼬이는 건데
도대체
근데 지금 니 옆에
이 남잔 누군데
교회 오빠하고
클럽은 왜 왔는데
너네 집 불교잖아
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야너
이런건 사랑이 아냐
그래 너 그래 너 야너
니가 왜 거기서 나와",영탁,2018.10.21,"61,103",성인가요/트로트
별빛 같은 나의 사랑아,"당신이 얼마나 내게
소중한 사람인지
세월이 흐르고 보니
이제 알 것 같아요
당신이 얼마나 내게
필요한 사람인지
세월이 지나고 보니
이제 알 것 같아요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
왜 이리 눈물이 나요",임영웅,2021.03.09,"76,133",성인가요/트로트
떠날 수 없는 당신,"나를 너무 모르시는 모르시는 당신이여
짙은 안개 때문입니까 무심한 탓입니까
사랑에 눈먼 당신이기에
이 가슴 멍들기전에
모두다 잊고 모두다 잊고
어디론가 떠나고 싶지만
미련이 많아 미련이 많아
떠날 수 없는 당신
나를 너무 모르시는 모르시는 당신이여
흐린 달 빛 때문입니까 무심한 탓입니까
사랑에 귀먼 당신이기에
이가슴 멍들기전에
모두다 잊고 모두다 잊고
어디론가 떠나고 싶지만
너무 정들어 너무 정들어
떠날 수 없는 당신
너무 정들어 너무 정들어
떠날 수 없는 당신",박지현,2023.01.27,"1,498",성인가요/트로트
진또배기,"어 허야듸야 허야듸야
어 허야듸야 허야듸야
허야듸야
어촌마을 어귀에 서서
마을에 평안함을 기원하는
진또배기 진또배기 진또배기
오리 세마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기 진또배기
어허 허야듸야
풍어와 풍년을 빌면서
일년내내 기원하는
진또배기 진또배기
진또배기 진또배기
어 허야듸야 허야듸야
허야듸야 허야듸야
배띄워라 노를 저어라
파도가 춤을 춘다 노래한다
진또배기 진또배기
진또배기 진또배기
어허 허야듸야
허야듸야 허야듸야 얼 쑤",이찬원,2020.01.17,"43,141",성인가요/트로트
어느 60대 노부부이야기,"곱고 희던 그 손으로
넥타이를 메어주던 때
어렴풋이 생각나오
여보 그 때를 기억하오
막내아들 대학 시험
뜬 눈으로 지새던 밤들
어렴풋이 생각나오
여보 그 때를 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
큰 딸아이 결혼식 날
흘리던 눈물 방울이
이제는 모두 말라
여보 그 눈물을 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
다시 못 올 그 먼 길을
어찌 혼자 가려하오
여기 날 홀로 두고
여보 왜 한마디 말이 없소
여보 안녕히 잘 가시게
여보 안녕히",임영웅,2020.02.21,"77,539",성인가요/트로트
돌릴 수 없는 세월,"곤히 잠든 그대 모습
지긋이 바라봅니다
함께한 날들 모두가
멈춘것만 같아요
꽃다운 날 나를 만나
모든걸 맡긴 사람
때론 속고 속는데도
떠나지 않은 사람
왜 이리 작아졌나요
늘 맘조린 탓인가요
왜 이리 가벼운가요
돌릴 수 없는 세월에
눈물이 나요 눈물이 흘러요
철없던 날 나를 만나
속 많이 썩은 사람
그 모두가 날 떠나도
믿어준 단 한사람
왜 이리 작아졌나요
늘 맘조린 탓인가요
왜 이리 가벼운가요
돌릴 수 없는 세월에
눈물이 나요 눈물이 흘러요
당신이 나를 살게한 사람이요",안성훈,2023.02.03,"1,037",성인가요/트로트
바램,"내 손에 잡은 것이 많아서
손이 아픕니다
등에 짊어진 삶의 무게가
온 몸을 아프게 하고
매일 해결해야 하는 일 때문에
내 시간도 없이 살다가
평생 바쁘게 걸어 왔으니
다리도 아픕니다
내가 힘들고 외로워 질 때
내 얘길 조금만 들어 준다면
어느 날 갑자기 세월의 한복판에
덩그러니 혼자 있진 않겠죠
큰 것도 아니고 아주 작은 한 마디
지친 나를 안아 주면서
사 랑 한 다
정말 사랑 한다는
그 말을 해 준다면
나는 사막을 걷는다 해도
꽃길이라 생각 할 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
저 높은 곳에 함께 가야 할 사람
그대 뿐입니다",임영웅,2020.01.17,"68,324",성인가요/트로트
